[2024-08-23T12:45:11.293+0530][1.933s][98688][9731][trace] Restored java.lang.constant.Constable archived mirror 0x00000007fef08df8
[2024-08-23T12:45:11.293+0530][1.933s][98688][9731][debug] Clearing root 732: was 0x00000007fef141a0
[2024-08-23T12:45:11.293+0530][1.933s][98688][9731][trace] Restored [Ljava.lang.constant.Constable; archived mirror 0x00000007fef141a0
[2024-08-23T12:45:11.293+0530][1.933s][98688][9731][debug] Clearing root 314: was 0x00000007fef08e68
[2024-08-23T12:45:11.293+0530][1.933s][98688][9731][trace] Restored java.lang.constant.ConstantDesc archived mirror 0x00000007fef08e68
[2024-08-23T12:45:11.293+0530][1.933s][98688][9731][debug] Clearing root 746: was 0x00000007fef147c0
[2024-08-23T12:45:11.293+0530][1.933s][98688][9731][trace] Restored [Ljava.lang.constant.ConstantDesc; archived mirror 0x00000007fef147c0
[2024-08-23T12:45:11.293+0530][1.933s][98688][9731][debug] Clearing root 25: was 0x00000007fef00cd0
[2024-08-23T12:45:11.293+0530][1.933s][98688][9731][trace] Restored java.lang.String archived mirror 0x00000007fef00cd0
[2024-08-23T12:45:11.293+0530][1.933s][98688][9731][debug] Clearing root 246: was 0x00000007fef06ae8
[2024-08-23T12:45:11.293+0530][1.933s][98688][9731][trace] Restored [Ljava.lang.String; archived mirror 0x00000007fef06ae8
[2024-08-23T12:45:11.293+0530][1.933s][98688][9731][debug] Clearing root 372: was 0x00000007fef0a8a8
[2024-08-23T12:45:11.293+0530][1.933s][98688][9731][trace] Restored java.lang.reflect.AnnotatedElement archived mirror 0x00000007fef0a8a8
[2024-08-23T12:45:11.293+0530][1.933s][98688][9731][debug] Clearing root 735: was 0x00000007fef142f0
[2024-08-23T12:45:11.293+0530][1.933s][98688][9731][trace] Restored [Ljava.lang.reflect.AnnotatedElement; archived mirror 0x00000007fef142f0
[2024-08-23T12:45:11.293+0530][1.933s][98688][9731][debug] Clearing root 362: was 0x00000007fef0a418
[2024-08-23T12:45:11.293+0530][1.933s][98688][9731][trace] Restored java.lang.reflect.GenericDeclaration archived mirror 0x00000007fef0a418
[2024-08-23T12:45:11.293+0530][1.933s][98688][9731][debug] Clearing root 736: was 0x00000007fef14360
[2024-08-23T12:45:11.293+0530][1.933s][98688][9731][trace] Restored [Ljava.lang.reflect.GenericDeclaration; archived mirror 0x00000007fef14360
